product_id,avg_sentiment_score,review_volume,rating,price_usd,skin_type,tertiary_category,secondary_category,reco_clean
 My only complaint is that when you put it on your face you need to hold the upper part of the container to keep it from turning when applying it. Mine turned and went back into the tube and I ended up scraping my face with the plastic part. ,,1,,,,,,0
 Scent reminds me of Clean & Clear Morning Burst. The products are actually pretty similar except for the price point and that this is a scrub/exfoliator. This also does feel lighter,,1,,,,,,0
 i received two sets through different orders and i am sold.,,1,,,,,,0
**Please note I received this product as a sample for free to review.,,1,,,,,,0
*Disclaimer: I received this product as part of a promotion from SK-II. My opinion is my own.,,1,,,,,,0
- Cleanse very well the skin,,1,,,,,,0
- Love the subtle concumber smell,,1,,,,,,0
- Super gentle with your skin,,1,,,,,,0
- no feeling of dryness ,,1,,,,,,0
-N/A,,1,,,,,,0
1. So expensive,,1,,,,,,0
1. gentle yet effective. Never left my face feeling raw,,1,,,,,,0
2. skin felt smooth after use,,1,,,,,,0
3. pores looked smaller bc they were decongested,,1,,,,,,0
4. love the fruity smell,,1,,,,,,0
5. combo it with the resurfacing mask and it left my skin looking radiant,,1,,,,,,0
;),,1,,,,,,0
After looking more into the ingredients and doing some research i realized why it stings! Which also got me into looking into chemical Peels,,1,,,,,,0
Also we do not use a clarisonic we use our hands its not super foamy that way but still effective,,1,,,,,,0
Always saves my skin when it is reactive.,,1,,,,,,0
And I have to give the brand some kudos on the packaging. The container almost feels like glass or porcelain and it almost feels like if I dropped it it would chip like porcelain. It definitely gives it a touch of elegance.,,1,,,,,,0
And the smell is so fresh!,,1,,,,,,0
At first I was worried about my face getting extra oily since it had an oily texture but this cleanser is just perfect. It melts off my makeup effortlessly and leaves my skin soft and clean. I don’t need a lot to remove all my makeup either so this will probably last me a really long time.,,1,,,,,,0
But I am a little disappointed in the packaging - the actual product is in a little chamber that is about 1/4 of the bottle shown in the picture. So you’re getting much less product than you’d think by just looking at the picture.,,1,,,,,,0
But even with that minor inconvenience I think this is my new go-to exfoliator.,,1,,,,,,0
CON,,1,,,,,,0
Con: I thought the packaging is a glass bottle but it is just plastic. It is expensive(even more expensive than Shu Uemura cleansing oil). I would only purchase it when there is promotion.,,1,,,,,,0
Counter Balance Oil Control Hydrator complimentary for testing purposes. This is my first time using a collection like this to develop a skincare routine. I love the smell. It’s minty and refreshing. This collection helped me to get back the glow I had when I was expecting. It’s lightweight and it doesn’t aggravate my skin.,,1,,,,,,0
DO NOT USE THIS EVERYDAY.,,1,,,,,,0
Delta:,,1,,,,,,0
Disclaimer: I did receive this for free to try but all opinions are my own.,,1,,,,,,0
FRXXXTION Stick Exfoliating Cleanser in my January Sephora Play beauty box. This stick exfoliant effectively cleanses skin and pores. Gentle enough for daily use. This product is #fibromyalgia and #sensoryissues friendly. #justmyfriendlyopinion,,1,,,,,,0
For those who don’t like dipping their fingers in the jar pick up a few little plastic paddles to scoop out what you need. That is what I do :),,1,,,,,,0
Gotta be carefull with the eyes but it leave the skin super soft.,,1,,,,,,0
Great product!,,1,,,,,,0
Highly recommend this for all skin types because it’s non-drying!,,1,,,,,,0
Honestly I have had such good luck with all the DE products I tried.  I will continue to use this once a week and keep it on a little longer each time.,,1,,,,,,0
However the only downside is that it did leave my skin dry,,1,,,,,,0
I accidentally got some in my mouth and it tasted slightly sweet. Weird haha,,2306,,,,,,0
I also use their Deep Hydration Face Cream,,1,,,,,,0
I am absolutely repurchasing.,,1,,,,,,0
I am so glad that I got the chance to try a free sample from BzzAgent and I WILL be purchasing these in the future!,,1,,,,,,0
I am so happy I switched. Breakups are way down. My face doesn’t hurt or burn when I use this. I also haven’t had issues doing it since its super low maintenance cleanser. ,,1,,,,,,0
I can absolutely tell a difference in my skin since day 1. This cleanser worrrrkksss.,,1,,,,,,0
I definitely see a difference in my skin’s texture. Much smoother and overall healthier looking. Not nearly as dull as before. I gave it four stars because it’s not as brightening as I had hoped. ,,1,,,,,,0
I did receive this product for free from SK-II for my honest review.,,1,,,,,,0
I do have one sun spot and I was hoping this would help lighten it but so far it has not helped. So that is a bit disappointing for the price tag.,,1,,,,,,0
I do love masks. ,,1,,,,,,0
I don’t see or feel anything at all after using this mask.,,1,,,,,,0
I ended up buying a full sized product due to how much I love it. I love the strong smell of roses and I love the jelly texture of the mask. It’s very easy to apply and it’s very easy to rinse off. It’s definitely made my skin feel softer. ,,1,,,,,,0
I feel like it got really disappointed in Caudalie. How could they changed a good product to this? Have they tried it themselves? Money driven decision? i dont know,,1,,,,,,0
I have adult (30+) Combination skin and this does wonders. A little goes a logn way too! ,,1,,,,,,0
I have been using several brands of moisturizer and decided to try this one because of the mostly positive reviews.,,1,,,,,,0
I have been using this from a year and have gone down several tubes already,,1,,,,,,0
I have combination skin and am acne-prone; I got breakouts in the past that I now think were related to double-cleansing with more irritating cleansers (even “natural“ ones). ,,1,,,,,,0
I have combination skin with lots of blackheads and this mask is a new must have in my skin care routine.,,1,,,,,,0
I have not needed to buy eye makeup remover and feels like my lashes are better for it.,,1,,,,,,0
I have sensitive skin and it didn’t do me any favours. I really liked how gave me a deep clean though and was nice to use on warm evenings(I kept it in the fridge).,,1,,,,,,0
I have the issue with it making my eyes “foggy“ or blurry as well but seem to be able to mitigate most of that by adding a little water to my fingers and rubbing my eyes into more of an emulsion before rinsing.,,1,,,,,,0
I have to hide this from my boyfriend so he won’t use up all of it! I’m going to definitely be purchasing another for him.,,1,,,,,,0
I have used many cleaners over the years.  After trying this cleaner I can honestly say it is the Best!  It cleans your face and leaves it feeling clean and fresh.  You can definitely feel  and see the difference over time with this product.   My pores can’t be seen even with a magnifying mirror (and I am not young).,,1,,,,,,0
I highly recommend you get a sample and give this a try.,,1,,,,,,0
I keep buying it every time I run out of it because it works soooo good on my oily acne prone skin. Makes my skin feel fresh and helps with my acne and breaking out less often. Just love it :),,1,,,,,,0
I like how refreshing it feel after I wash the product out. My skin feels nice and clean! ^^,,1,,,,,,0
I like the smell but it’s useless.,,1,,,,,,0
I like the texture and the fact that it is fragrance free.,,1,,,,,,0
I liked the texture and smell of the product however after 2 weeks of use I found that I had lost significant moisture from my skin.,,1,,,,,,0
I love the packaging of this whole line! The matte green color is simple and beautiful ,,1,,,,,,0
I love using this in the shower too!,,1,,,,,,0
I normally find no visible benefits with masks. However after one use I noticed a difference. Fresher looking skin with blackheads diminishing.,,1,,,,,,0
I now use this weekly to prep my skin for a chemical peel a day or two before. I love the results that it has given my oily acne prone skin!,,1,,,,,,0
I only saw one reviewer who mentioned this so it may be a rare side effect. I did not notice a smell for this one but I prefer non fragrant moisturizers so it does not upset my  skin.,,1,,,,,,0
I put it on for ten min last night to test it and found it does tingle.  I didn’t want to chance leaving it on longer the first time just in case.  After taking it off I used the Marula oil from the sample.  OH MY GOD my skin was so baby soft!  I woke up this morning and my skin still glowed.  ,,1,,,,,,0
I put on a little bit at bed time and in the morning my lips are smooth and soft. I will definitely be buying the full size.,,1,,,,,,0
I really like this cleanser as it is very gentle and seems to remove the oil of my skin without being overly drying like other products I ve tried before.,,1,,,,,,0
I really liked the formula going from a solid to a more liquified oil and then to a milky cleanser. I felt that you wasted far less product than with liquid removers that you have to place on cotton pads. This will also travel well and shouldn’t be a problem on an airline! I am thrilled to not have to worry about the remover leaking. Its a great product and a brilliant innovation.,,1,,,,,,0
I really love the mint smell.,,1,,,,,,0
I received a sample size and I wish they sold as a trial/travel size :),,1,,,,,,0
I received it for free for testing purposes and didn’t expect I’ll love it so much.,,1,,,,,,0
I received the product from Influenster to try as a part of the 3 piece system.,,1,,,,,,0
I received the product(s) complimentary to test and/or review.,,1,,,,,,0
I received this complimentary of Influenster to review,,1,,,,,,0
I received this for free from Influenster in exchange for my honest review.,,1,,,,,,0
I received this product as a free sample,,1,,,,,,0
I received this product as a free sample for testing purposes.,,1,,,,,,0
I received this product complimentary for testing purposes by Influenster and Origins.,,1,,,,,,0
I received this product free for testing.,,1,,,,,,0
I received this product free from Influenster to test and give my opinion.,,1,,,,,,0
I received this product to test and review for free by INFLUENSTER. all opinions are 100% my own. #oleglow,,1,,,,,,0
I sometimes use this as a spot treatment.,,1,,,,,,0
I store them upside down so that the top ones have product on them just like the rest of them. They seemed to be drier if I didn’t. I will keep using them and hopefully give them 5 stars in another month. I’m almost finished with my first jar.,,1,,,,,,0
I suggest you get a sample first although it is very well reviewed and highly rated and relatively inexpensive compared to other masks. I so badly wanted to like this product! Its raved about so much but I cannot.,,1,,,,,,0
I tested this product for free from SK-II,,1,,,,,,0
I typically use another alcohol-free toner and it’s much more gentle on my skin. I think this is much more suited for oily skin in general.,,1,,,,,,0
I was skeptical at first because it stinged very badly to the point where i would wash it off right away. ,,1,,,,,,0
I was thrilled to find PTR had one almost identical and,,1,,,,,,0
I will definitely be purchasing the full size as soon as the sample runs out.,,1,,,,,,0
I wish it was a creamier consistency for application.,,1,,,,,,0
I would not recommend this cleanser for individuals with acne-prone skin.,,1,,,,,,0
I would say it lasts a good 24 hours without make-up. Can’t say what it’s like with make-up because I rarely wear the stuff.,,1,,,,,,0
If you want to put a gel on your skin for 10 minutes that smells good - go for it.,,1,,,,,,0
Influenster sent me this for free.,,1,,,,,,0
It did not work for my skin. My skin is very dry and flaky and I have hormonal acne and constant outbreaks on my chin area. ,,1,,,,,,0
It does a good job taking off my face makeup. I have to go in with cotton/makeup eraser for my eye area a little afterwards (to be expected),,1,,,,,,0
It does go on heavy and is greasy UNTIL it penetrates the skin overnight.  But when you wake up and feel how smooth and supple your skin feels it is worth it.,,1,,,,,,0
It does not make your skin feel tight afterwards.,,1,,,,,,0
It doesn’t beat my Boscia charcoal mask because that mask doesn’t dry my skin out.  While this mask is good it did dry me out on my cheeks and chin.  But awesome for my breaks.,,1,,,,,,0
It dries your face out a lot but the results are worth it,,1,,,,,,0
It has no smell to it and it doesn’t make me break out. It takes off all of my make up..it’s a really great cleanser for people with very sensitive skin...(tried boscia charcoal cleanser - never again),,1,,,,,,0
It is a very easy product to use that left me with the cooling sensation not only while it was on but also after I removed it. I could see the change in my color right away and am loving using all 10 of the masks that came in the box!,,1,,,,,,0
It is not exfoliating.,,1,,,,,,0
It is not necessary one of the stated benefits but it really cleared my skin right up--dried up any acne and made my skin feel pretty nice. For that reason alone I will keep using it and probably repurchase it---it is way more effective than other acne treatments for me. ,,1,,,,,,0
Its a must have! Try the smaller size if you dont want to invest in the bigger size to try...Youw ill not regreat it!!!,,1,,,,,,0
It’s very depressing.,,1,,,,,,0
I’m 62 years old with OK skin but this product really did lift off dead skin and left my face silky smooth and not at all dried out - it also minimized very visible pores.  This is IT for me forever.,,1,,,,,,0
I’m not sure if it’s this lotion on it’s own or a combination of steps in my skincare routine that’s giving me the results. Either way I will keep using it!,,1,,,,,,0
I’ve had it for over 2 months. I wash my face day and night. ,,1,,,,,,0
Kate,,1,,,,,,0
Leaves my skin really nice and refreshed.,,1,,,,,,0
My detailed review is below.,,1,,,,,,0
My first experience with this cream was when I was in a law enforcement academy and we were pepper sprayed as part of the academy.  The pepper spray is military grade and left burn marks down my cheeks.  I had this cream as a sample and it cured the burns within 3 days and I had no scarring.,,1,,,,,,0
My go to product for blemish/acne/spots treatment. I don`t have acne prone skin so I only use this when i get random breakouts. Works very well! I can`t say it works immediately but with its help I usually get rid of breakouts whithin 1-2 days.,,1,,,,,,0
My husband even started using it and his face has never looked better he usually gets a lot of dead skin around his nose but is somehow is still very oily; but no more ! This stuff Im telling you is for anyone. ,,1,,,,,,0
My mother who is 84 years old also uses this mask and she looks amazing her skin has a beautiful soft glow..,,1,,,,,,0
My second experience with this cream was during my laser tattoo removal.  Laser burns are painful and can blister and scab.  After the first treatment I did not use this cream and it took the area 3 weeks to heal.  After my second treatment I used this cream and the area healed in 1 week.,,1,,,,,,0
My skin is very oily and this cleanser is a miracle for me!,,1,,,,,,0
No such issues with this cleanser--my skin is the best it’s ever been!,,1,,,,,,0
None of the “balls“ are actually skin.  It is the chemical compounds sticking together.  My skin looks and feels the same.,,1,,,,,,0
OBSESSED!,,1,,,,,,0
Overall: This product is a STAPLE and MUST Have in my routine!! I always go back to this one. I even converted my boyfriend that is now a Fresh addict.,,1,,,,,,0
P122762,0.7137637028014616,821,4.4933,23.5,combination,Face Wash & Cleansers,Cleansers,1
P122900,0.6774761186525893,3978,4.438299999999999,32.5,oily,Moisturizers,Moisturizers,1
P12336,0.6710908336789714,2411,4.1887,64.0,combination,Face Masks,Masks,1
P126301,0.7031535648994516,4376,4.5294,38.0,combination,Face Wash & Cleansers,Cleansers,1
P173619,0.67,500,4.422,70.0,combination,Eye Masks,Eye Care,1
P203616,0.6749805144193297,1283,4.4022,58.0,normal,Face Masks,Masks,1
P217932,0.748730964467005,394,4.4416,34.0,combination,Face Wash & Cleansers,Cleansers,1
P248404,0.6787904419539015,4729,4.3738,24.0,combination,Face Wash & Cleansers,Cleansers,1
P248407,0.6027560620113953,7547,4.52,38.0,combination,Moisturizers,Moisturizers,1
P270600,0.2727272727272727,11,3.3636,86.0,dry,Eye Creams & Treatments,Eye Care,1
P297517,0.37631887456037516,1706,3.9348999999999994,20.0,dry,Face Serums,Treatments,1
P297524,0.6975254087494477,4526,4.3292,17.0,normal,Face Masks,Masks,1
P309310,0.5688748685594112,951,3.8453,35.0,combination,Face Wash & Cleansers,Cleansers,1
P3550,0.464,625,4.2768,48.0,combination,Face Serums,Treatments,1
P375534,0.5712841253791708,989,4.1964,28.0,combination,Moisturizers,Moisturizers,1
P375850,0.6920565832426551,919,4.1306,75.0,combination,Face Wash & Cleansers,Cleansers,1
P375852,0.6620689655172414,435,4.2972,145.0,normal,Sheet Masks,Masks,1
P375864,0.8387096774193549,62,4.4194,170.0,combination,Sheet Masks,Masks,1
P377561,0.6091340450771056,1686,4.5391,49.0,combination,Facial Peels,Treatments,1
P377919,0.7425742574257426,101,4.2871,36.0,normal,Face Wash & Cleansers,Cleansers,1
P379707,0.6922169811320755,848,4.3471,68.0,combination,Face Masks,Masks,1
P379709,0.25735294117647056,136,3.4118,130.0,combination,Moisturizers,Moisturizers,1
P379710,0.7857142857142857,700,4.4649,88.0,dry,Face Wash & Cleansers,Cleansers,1
P380027,0.6982758620689655,116,4.4397,30.0,oily,Face Wash & Cleansers,Cleansers,1
P382204,0.5823970037453183,534,4.1989,55.0,oily,Face Masks,Masks,1
P384539,0.6101694915254238,1062,4.2608,24.0,dry,Face Wash & Cleansers,Cleansers,1
P385432,0.4494902687673772,1079,4.2234,32.0,normal,Blemish & Acne Treatments,Treatments,1
P386197,0.9933642801880617,33606,4.4763,27.0,dry,Exfoliators,Cleansers,1
P387261,0.7791666666666667,720,4.6611,60.0,combination,Face Masks,Masks,1
P391799,0.6224066390041494,482,4.1369,96.0,oily,Face Masks,Masks,1
P392142,0.5473684210526316,95,4.0211,88.0,dry,Face Wash & Cleansers,Cleansers,1
P392144,0.5588235294117647,170,4.2059,88.0,oily,Face Wash & Cleansers,Cleansers,1
P392235,0.7272727272727273,1837,4.4815,50.0,dry,Face Wash & Cleansers,Cleansers,1
P39274,0.7330006238303182,1603,4.3699,39.0,combination,Face Wash & Cleansers,Cleansers,1
P393076,0.6120996441281139,562,4.3114,44.0,dry,Night Creams,Moisturizers,1
P395507,0.5,2,4.5,110.0,dry,Moisturizers,Moisturizers,0
P395615,0.7461538461538462,1040,4.5015,42.0,combination,Face Masks,Masks,1
P399622,0.7317073170731707,82,4.4074,95.0,dry,Sheet Masks,Masks,1
P400207,0.5176165803108809,1930,4.2448,50.0,combination,Face Masks,Masks,0
P4010,0.6932826362484157,789,4.4981,46.0,dry,Face Wash & Cleansers,Cleansers,1
P401570,0.7325581395348837,86,4.5,37.0,normal,Face Wash & Cleansers,Cleansers,1
P4016,0.5657076205287714,2572,4.2348,36.0,combination,Face Wash & Cleansers,Cleansers,1
P404322,0.6993670886075949,948,4.4494,44.0,combination,Face Wash & Cleansers,Cleansers,1
P405096,0.6848013816925734,1158,4.312,12.0,combination,Face Wash & Cleansers,Cleansers,1
P406104,0.984498051894222,12063,3.7593999999999994,75.0,dry,Eye Creams & Treatments,Eye Care,1
P408230,0.8679245283018868,159,4.7547,67.0,normal,Face Masks,Masks,1
P408301,0.46511627906976744,129,3.845,75.0,dry,Face Masks,Masks,0
P409631,0.949602932193036,3274,4.5315,22.0,combination,Face Wash & Cleansers,Cleansers,1
P411360,0.6842105263157895,76,4.0921,52.0,combination,Face Masks,Masks,1
P411387,0.6406889495225102,5864,4.2112,39.0,combination,Face Wash & Cleansers,Cleansers,1
P412025,0.5498721227621484,391,3.9668,55.0,combination,Eye Masks,Eye Care,1
P414293,0.42641509433962266,530,4.4348,34.0,combination,Moisturizers,Moisturizers,1
P415620,0.5900990099009901,505,4.5168,52.0,dry,Face Masks,Masks,0
P415667,0.4855769230769231,624,4.2392,44.0,combination,Blemish & Acne Treatments,Treatments,1
P415777,0.574559686888454,2555,4.2909,80.0,combination,Face Masks,Masks,1
P416538,0.6190476190476191,42,4.2857,300.0,combination,Face Masks,Masks,0
P416561,0.5168067226890757,714,4.0924,54.0,oily,Moisturizers,Moisturizers,1
P416562,0.3430321592649311,653,3.6370999999999998,56.0,combination,Eye Creams & Treatments,Eye Care,1
P416815,0.7332411886662059,1447,4.4299,33.0,oily,Face Wash & Cleansers,Cleansers,1
P420143,0.372,250,3.916,75.0,dry,Face Masks,Masks,1
P420699,0.6190476190476191,651,4.0507,70.0,dry,Face Masks,Masks,1
P422002,0.7156488549618321,524,4.542,45.0,normal,Face Masks,Masks,1
P422007,0.7207415990730012,863,4.3712,30.0,combination,Face Wash & Cleansers,Cleansers,1
P422248,0.574468085106383,188,4.2872,28.0,combination,Face Wash & Cleansers,Cleansers,1
P422430,0.8678343949044586,1256,4.5629,48.0,combination,Moisturizers,Moisturizers,1
P422648,0.7115384615384616,52,4.4808,59.0,combination,Moisturizers,Moisturizers,1
P423130,0.7871794871794872,390,4.3667,65.0,dry,Face Masks,Masks,1
P423135,0.8185840707964602,226,4.6593,94.0,combination,Moisturizers,Moisturizers,1
P423136,0.7863128491620112,716,4.5196,42.0,combination,Face Wash & Cleansers,Cleansers,1
P423254,0.5979381443298969,291,4.069,55.0,combination,Eye Masks,Eye Care,0
P426080,0.6612244897959184,490,4.351,69.0,combination,Face Masks,Masks,1
P426829,0.717391304347826,414,4.4758,29.0,oily,Face Wash & Cleansers,Cleansers,1
P426836,0.5488165680473372,2704,3.9426,34.0,combination,Face Wash & Cleansers,Cleansers,0
P427393,0.28378378378378377,148,3.5442,55.0,combination,Eye Creams & Treatments,Eye Care,1
P427536,0.562605752961083,2364,4.1478,40.0,normal,Face Wash & Cleansers,Cleansers,1
P428668,0.6244897959183674,490,4.0796,26.0,normal,Eye Masks,Eye Care,1
P429637,0.48175182481751827,137,3.6788,200.0,normal,Moisturizers,Moisturizers,1
P429662,0.34309623430962344,239,3.887,44.0,combination,Face Masks,Masks,1
P429952,0.5593679458239278,4430,4.0262,49.0,combination,Face Masks,Masks,1
P429954,0.41947565543071164,267,3.9476,88.0,combination,Face Wash & Cleansers,Cleansers,1
P430337,0.7487335359675785,2961,4.3404,51.0,combination,Moisturizers,Moisturizers,1
P431187,0.5555555555555556,882,4.0341,28.0,dry,Face Wash & Cleansers,Cleansers,1
P431848,0.8620236530880421,1522,4.5335,41.0,combination,Face Masks,Masks,1
P433444,0.8705772811918063,1074,4.6453,37.0,combination,Face Masks,Masks,1
P433465,0.5,18,4.1667,10.99,normal,Face Masks,Masks,1
P433466,0.7727272727272727,22,4.5909,10.99,dry,Face Masks,Masks,1
P433627,0.6511156186612576,493,4.1626,52.0,combination,Face Masks,Masks,1
P433887,0.6020992366412213,2096,4.2101,60.0,dry,Moisturizers,Moisturizers,1
P436346,0.7368421052631579,19,4.6316,21.99,combination,Face Masks,Masks,1
P436359,0.5061032863849765,1065,3.8103,34.0,combination,Face Wash & Cleansers,Cleansers,1
P437960,0.5211267605633803,71,4.0986,26.0,normal,Eye Masks,Eye Care,1
P438618,0.8372641509433962,424,4.6286,12.0,normal,Face Wash & Cleansers,Cleansers,0
P438637,0.6633663366336634,202,4.0594,40.0,combination,Eye Masks,Eye Care,1
P438643,0.7241379310344828,87,4.4713,39.0,oily,Face Wash & Cleansers,Cleansers,1
P439057,0.7589285714285714,448,4.5826,45.0,dry,Moisturizers,Moisturizers,1
P440072,0.33695652173913043,92,3.7283,52.0,normal,Face Masks,Masks,1
P440307,0.6738853503184713,2355,4.3237,52.0,oily,Face Masks,Masks,0
P440485,0.3611111111111111,72,3.75,14.0,oily,Face Wash & Cleansers,Cleansers,1
P440925,0.6666666666666666,1644,4.4954,32.0,oily,Face Masks,Masks,1
P441220,0.5954545454545455,440,4.3545,36.0,dry,Face Oils,Moisturizers,1
P442545,0.5,12,4.25,38.0,combination,Face Wash & Cleansers,Cleansers,1
P442546,0.8441558441558441,77,4.5455,38.0,normal,Face Wash & Cleansers,Cleansers,1
